pg,os,type,os_code,os_arch,pkg,ext,pname,miss,hide,pkg_repo,pkg_ver,count
16,d12.x86_64,deb,d12,x86_64,vasco,vasco,postgresql-16-vasco,t,f,pigsty,0.1.0,1
16,d12.x86_64,deb,d12,x86_64,vchord,vchord,postgresql-16-vchord,t,f,pigsty,0.4.3,1
16,d12.x86_64,deb,d12,x86_64,vchord_bm25,vchord_bm25,postgresql-16-vchord-bm25,t,f,pigsty,0.2.1,1
16,d12.x86_64,deb,d12,x86_64,wal2json,wal2json,postgresql-16-wal2json,t,f,pgdg,2.6,1
16,d12.x86_64,deb,d12,x86_64,wal2mongo,wal2mongo,postgresql-16-wal2mongo,t,f,pigsty,1.0.7,1
16,d12.x86_64,deb,d12,x86_64,wrappers,wrappers,postgresql-16-wrappers,t,f,pigsty,0.5.0,1
16,d12.x86_64,deb,d12,x86_64,zhparser,zhparser,postgresql-16-zhparser,t,f,pigsty,2.3,1
16,el8.aarch64,rpm,el8,aarch64,age,age,apache-age_16,t,f,pigsty,1.5.0,1
16,el8.aarch64,rpm,el8,aarch64,aggs_for_arrays,aggs_for_arrays,aggs_for_arrays_16,t,f,pigsty,1.3.3,1
16,el8.aarch64,rpm,el8,aarch64,aggs_for_vecs,aggs_for_vecs,aggs_for_vecs_16,t,f,pigsty,1.4.0,1
16,el8.aarch64,rpm,el8,aarch64,asn1oid,asn1oid,asn1oid_16,t,f,pigsty,1.5,1
16,el8.aarch64,rpm,el8,aarch64,aws_s3,aws_s3,aws_s3_16,t,f,pigsty,0.0.1,1
16,el8.aarch64,rpm,el8,aarch64,babelfishpg_common,babelfishpg_common,babelfishpg-common,t,f,,,0
16,el8.aarch64,rpm,el8,aarch64,babelfishpg_money,babelfishpg_money,babelfishpg-money,t,f,,,0
16,el8.aarch64,rpm,el8,aarch64,babelfishpg_tds,babelfishpg_tds,babelfishpg-tds,t,f,,,0
16,el8.aarch64,rpm,el8,aarch64,babelfishpg_tsql,babelfishpg_tsql,babelfishpg-tsql,t,f,,,0
16,el8.aarch64,rpm,el8,aarch64,bgw_replstatus,bgw_replstatus,bgw_replstatus_16,t,f,pgdg,1.0.8,2
